yaw,pitch,pred_class,filtered_class,base_face,l2cs_face
0.033621850147972955,-0.18798098582776848,1.0,1.0,1.0,1.0
0.062236201522816004,-0.3189042745658893,1.0,1.0,1.0,1.0
0.07863828120797306,-0.38549815790573105,1.0,1.0,1.0,1.0
0.09018143966905479,-0.4552094340102323,1.0,1.0,1.0,1.0
0.08998657749391639,-0.4967166820881167,1.0,1.0,1.0,1.0
0.09370560456031327,-0.5242608104252721,1.0,1.0,1.0,1.0
0.09312143725844736,-0.5370849534980643,1.0,1.0,1.0,1.0
0.10469124647923413,-0.5467578789072046,1.0,1.0,1.0,1.0
0.10148456011169374,-0.5695651937819478,1.0,1.0,1.0,1.0
0.11800609922441316,-0.5844251278145208,1.0,1.0,1.0,1.0
0.14680950811882393,-0.6985055452104637,1.0,1.0,1.0,1.0
0.1671500293540056,-0.8051540677656303,1.0,1.0,1.0,1.0
0.09385695876374381,-0.8846689644807904,1.0,1.0,1.0,1.0
0.03102908132059244,-0.9521350170040863,1.0,1.0,1.0,1.0
0.05930904657713593,-0.9994306590650852,1.0,1.0,1.0,1.0
0.14889842914097157,-1.0371644223085377,1.0,1.0,1.0,1.0
0.15804698727636896,-1.0843438263711669,1.0,1.0,1.0,1.0
0.08123182764895726,-1.124588989837304,1.0,1.0,1.0,1.0
0.044922386465356005,-1.1460929136667544,1.0,1.0,1.0,1.0
0.15917582401289398,-1.1649413803679682,1.0,1.0,1.0,1.0
0.22893148885242268,-1.1791680482116527,1.0,1.0,1.0,1.0
0.29155449885574725,-1.186500556020234,1.0,1.0,1.0,1.0
0.3556337137521566,-1.2008335881068872,1.0,1.0,1.0,1.0
0.48443152078671076,-1.1946422046062564,1.0,1.0,1.0,1.0
0.6488476288244875,-1.1591768909193707,0.0,1.0,1.0,1.0
0.75219378232305,-1.1360355394823183,0.0,1.0,1.0,1.0
0.8368461771803832,-1.1183229201511886,0.0,1.0,1.0,1.0
0.9233830265142212,-1.110640259660624,0.0,1.0,1.0,1.0
1.037301181118308,-1.118631724019937,1.0,1.0,1.0,1.0
1.1593984510138302,-1.1186693938832732,1.0,1.0,1.0,1.0
1.040230494055571,-1.1057129259153462,1.0,1.0,1.0,1.0
0.661976740909576,-1.0620356331279952,2.0,1.0,1.0,1.0
0.40692238369369493,-1.0352170234521871,2.0,1.0,1.0,1.0
0.4252034151997605,-1.0155727206516645,1.0,1.0,1.0,1.0
0.052550194351354385,-0.9587288238152061,3.0,1.0,1.0,1.0
-0.19640968563615332,-0.900293117929392,3.0,2.0,1.0,1.0
-0.43601266953633544,-0.8517843676835646,3.0,2.0,1.0,1.0
-0.5874094316277215,-0.7966230563040628,3.0,2.0,1.0,1.0
-0.7069824961657007,-0.7505615125823073,3.0,2.0,1.0,1.0
-0.8155445471815439,-0.7139574491146865,3.0,3.0,1.0,1.0
-0.8764541716266155,-0.6988180877851196,3.0,3.0,1.0,1.0
-0.9095944685708289,-0.6721607856587205,3.0,3.0,1.0,1.0
-0.9549077711674684,-0.651462810955954,3.0,3.0,1.0,1.0
-0.9883578595146245,-0.6269789170864236,3.0,3.0,1.0,1.0
-1.014123239452809,-0.605170619160163,3.0,3.0,1.0,1.0
-1.0105698331741007,-0.5977879600987901,3.0,3.0,1.0,1.0
-0.9999878554912919,-0.5726807609543647,3.0,3.0,1.0,1.0
-1.0051842897527137,-0.5615361389131043,3.0,3.0,1.0,1.0
-1.0482740559956931,-0.5633183061245204,3.0,3.0,1.0,1.0
-1.0689417196769058,-0.6097774547810427,3.0,3.0,1.0,1.0
-1.084455487078673,-0.6468259967149703,3.0,3.0,1.0,1.0
-1.1479488069264998,-0.7211643380011931,2.0,3.0,1.0,1.0
-1.2185480868805465,-0.7932313901403034,2.0,3.0,1.0,1.0
-0.9606011570409574,-0.8405660283094276,1.0,2.0,1.0,1.0
-0.9363014598303324,-0.8846885987696127,2.0,2.0,1.0,1.0
-0.9519391022551172,-0.9112232306222804,2.0,2.0,1.0,1.0
-0.9733767180642918,-0.9331295894447471,2.0,2.0,1.0,1.0
-0.8863606202551606,-0.9318157678989264,2.0,2.0,1.0,1.0
-0.899361076288551,-0.8979490000256473,2.0,2.0,1.0,1.0
-0.8234648485210065,-0.8819187297378904,2.0,2.0,1.0,1.0
-0.8591343506916086,-0.8724279389809491,2.0,2.0,1.0,1.0
-0.8848012219334261,-0.860660268734483,2.0,2.0,1.0,1.0
-0.8667239963899726,-0.8495707378955477,2.0,2.0,1.0,1.0
-0.9387227527459033,-0.9065459309663162,2.0,2.0,1.0,1.0
-0.5246136640711376,-0.9427113316004855,0.0,2.0,1.0,1.0
-0.24782878378820966,-0.9557052455107373,0.0,1.0,1.0,1.0
-0.043084358737146194,-0.9745953012524624,1.0,1.0,1.0,1.0
0.0915459454682368,-0.9933265817672592,1.0,1.0,1.0,1.0
0.19337520220459997,-1.0085558713142777,1.0,1.0,1.0,1.0
0.37732727287852647,-1.0472443071744633,1.0,1.0,1.0,1.0
0.08432161118613485,-1.0879365529191793,2.0,1.0,1.0,1.0
0.04671690995870098,-1.1135690335263337,1.0,1.0,1.0,1.0
0.35286203028922364,-1.1560611971285917,1.0,1.0,1.0,1.0
0.609225138603906,-1.1630702618438935,1.0,1.0,1.0,1.0
0.8044031266254891,-1.1676983225465345,1.0,1.0,1.0,1.0
0.27070998914639244,-1.161229812694693,2.0,1.0,1.0,1.0
-0.12319807392358517,-1.1585717186749556,2.0,1.0,1.0,1.0
0.20223216365368818,-1.1318918569466274,0.0,1.0,1.0,1.0
0.00327267841833645,-1.1180256179043004,2.0,1.0,1.0,1.0
0.046348739203980714,-1.104306403624679,1.0,1.0,1.0,1.0
0.08017580875627905,-1.0933671446653632,1.0,1.0,1.0,1.0
0.21901257240405905,-1.0990562491398692,1.0,1.0,1.0,1.0
0.29877242344032284,-1.0863107275451838,1.0,1.0,1.0,1.0
0.3154000087135991,-1.0593336523460133,1.0,1.0,1.0,1.0
0.31604774743337777,-1.0592691087404158,1.0,1.0,1.0,1.0
-0.012993189111216386,-1.066190188853594,2.0,1.0,1.0,1.0
-0.27501145699498286,-1.0714869157086444,2.0,1.0,1.0,1.0
-0.21864003447957653,-1.0788249091234203,1.0,1.0,1.0,1.0
-0.4823073964060574,-1.0652127092162682,2.0,2.0,1.0,1.0
-0.6632026664323004,-1.0513821270252155,2.0,2.0,1.0,1.0
-0.4334287652338238,-1.038822296320294,1.0,1.0,1.0,1.0
8.053256987812944,7.568942162943767,4.0,4.0,0.0,0.0
14.842605590250358,14.455153730355015,4.0,4.0,0.0,0.0
20.274084472200286,19.964122984284014,4.0,4.0,0.0,0.0
24.61926757776023,24.371298387427213,4.0,4.0,0.0,0.0
28.095414062208185,27.89703870994177,4.0,4.0,0.0,0.0
30.87633124976655,30.71763096795342,4.0,4.0,0.0,0.0
33.10106499981324,32.974104774362736,4.0,4.0,0.0,0.0
34.88085199985059,34.77928381949019,4.0,4.0,0.0,0.0
36.304681599880475,36.223427055592154,4.0,4.0,0.0,0.0
37.44374527990438,37.37874164447372,4.0,4.0,0.0,0.0
38.3549962239235,38.30299331557897,4.0,4.0,0.0,0.0
39.0839969791388,39.04239465246318,4.0,4.0,0.0,0.0
39.667197583311044,39.633915721970546,4.0,4.0,0.0,0.0
40.13375806664884,40.10713257757644,4.0,4.0,0.0,0.0
40.50700645331907,40.48570606206115,4.0,4.0,0.0,0.0
40.805605162655255,40.78856484964892,4.0,4.0,0.0,0.0
41.044484130124204,41.03085187971914,4.0,4.0,0.0,0.0
41.23558730409936,41.22468150377531,4.0,4.0,0.0,0.0
41.38846984327949,41.37974520302025,4.0,4.0,0.0,0.0
41.51077587462359,41.5037961624162,4.0,4.0,0.0,0.0
41.608620699698875,41.60303692993296,4.0,4.0,0.0,0.0
41.6868965597591,41.68242954394637,4.0,4.0,0.0,0.0
41.749517247807276,41.7459436351571,4.0,4.0,0.0,0.0
41.79961379824582,41.79675490812568,4.0,4.0,0.0,0.0
41.839691038596655,41.83740392650054,4.0,4.0,0.0,0.0
41.87175283087733,41.86992314120043,4.0,4.0,0.0,0.0
