,file,case,ckappa_manl2cs,ckappa_manl2cs_li,ckappa_manl2cs_qua
0,33001_sessie1_taskrobotEngagement,visible,0.3976083707025412,0.3963344788087056,0.3506594259115593
1,33001_sessie2_taskrobotEngagement,visible,0.3157894736842105,0.1111111111111111,-0.0897435897435896
2,33001_sessie3_taskrobotEngagement,visible,0.22,0.1136363636363638,-0.0022026431718062
3,33002_sessie1_taskrobotEngagement,visible,0.1268656716417909,0.1580041580041579,0.2021772939346812
4,33002_sessie2_taskrobotEngagement,visible,0.2639664804469274,0.2166064981949458,0.0953307392996107
5,33002_sessie3_taskrobotEngagement,visible,-0.0526315789473683,-0.0714285714285714,-0.0869565217391303
6,33003_sessie1_taskrobotEngagement,visible,0.0393013100436681,0.0952380952380951,0.1463414634146339
7,33003_sessie3_robotEngagement1,visible,0.0882352941176469,0.1267605633802816,0.1267605633802817
8,33003_sessie3_taskrobotEngagement,visible,0.1567460317460317,0.0880503144654089,-0.0338983050847456
9,33004_sessie1_taskrobotEngagement,visible,-0.1200000000000001,-0.1428571428571428,-0.1685393258426966
10,33004_sessie2_taskrobotEngagement,visible,0.3264248704663212,0.2819148936170214,0.1891891891891891
11,33004_sessie3_taskrobotEngagement,visible,0.2814159292035398,0.3585564610011641,0.3986622073578595
12,33005_sessie1_taskrobotEngagement,visible,0.136986301369863,0.2222222222222222,0.3225806451612903
13,33005_sessie2_taskrobotEngagement,visible,0.2120383036935703,0.2016129032258065,0.1595330739299609
14,33005_sessie3_taskrobotEngagement,visible,0.2596153846153847,0.391304347826087,0.5242718446601942
15,33006_sessie1_taskrobotEngagement,visible,0.4455445544554455,0.4716981132075472,0.5172413793103448
16,33006_sessie2_taskrobotEngagement,visible,0.2941176470588235,0.0,-0.3109243697478989
17,33006_sessie3_taskrobotEngagement,visible,0.1818181818181817,0.25,0.3076923076923077
18,33007_sessie1_taskrobotEngagement,visible,0.4037267080745341,0.4744525547445255,0.52
19,33007_sessie2_taskrobotEngagement,visible,0.7234042553191489,0.8169014084507042,0.8907563025210085
20,33007_sessie3_taskrobotEngagement,visible,0.4700315457413249,0.44,0.3333333333333333
21,33008_sessie1_taskrobotEngagement,visible,0.2239263803680982,0.1265822784810126,0.0075046904315196
22,33008_sessie2_taskrobotEngagement,visible,0.127155172413793,-0.0549927641099854,-0.2323651452282156
23,33008_sessie3_taskrobotEngagement,visible,0.0689655172413794,-0.1904761904761907,-0.6779661016949152
24,33010_sessie1_taskrobotEngagement,visible,0.0952380952380953,0.026281208935611,-0.0139211136890951
25,33010_sessie2_taskrobotEngagement,visible,0.453125,0.2613636363636364,0.0357142857142857
26,33010_sessie3_taskrobotEngagement,visible,0.1547536433032617,0.1688206785137317,0.1720430107526881
27,33011_sessie2_robotEngagement1,visible,0.1192560175054704,0.0952380952380951,0.0628037383177571
28,33011_sessie2_taskrobotEngagement,visible,0.3717472118959108,0.173728813559322,0.0
29,33011_sessie3_taskrobotEngagement,visible,0.1277955271565495,0.2348178137651823,0.2937219730941703
30,33013_sessie3_robotEngagement3,visible,0.1698113207547169,0.0,-0.1132075471698113
31,33013_sessie3_taskEngagement1,visible,0.2083333333333333,0.0516351118760756,-0.041302621127879
32,33013_sessie3_taskrobotEngagement,visible,0.1320754716981131,0.0,-0.0568927789934354
33,Proefpersoon22016_Sessie1,visible,-0.1921397379912663,-0.2109589041095889,-0.24
34,Proefpersoon22016_Sessie2,visible,0.7023086269744836,0.6583850931677019,0.61671469740634
35,Proefpersoon22016_Sessie3,visible,-0.0507462686567163,-0.0393700787401574,-0.011494252873563
36,Proefpersoon22017_Sessie1,visible,0.0340909090909091,-0.0074074074074073,-0.017094017094017
37,Proefpersoon22017_Sessie2,visible,0.4444444444444444,0.4953271028037384,0.5636363636363637
38,Proefpersoon22017_Sessie3,visible,0.4545454545454546,0.5384615384615384,0.6470588235294117
39,Proefpersoon22018_Sessie1,visible,0.0,0.0,0.0
40,Proefpersoon22018_Sessie2,visible,0.125,0.1999999999999999,0.2857142857142857
41,Proefpersoon22018_Sessie3,visible,0.3823529411764705,0.5714285714285714,0.7439024390243902
42,Proefpersoon22030_Sessie1,visible,0.1694915254237288,0.1095406360424028,0.0718232044198896
