,file,case,ckappa_manl2cs,ckappa_manbase,ckappa_manl2cs_li,ckappa_manbase_li,ckappa_manl2cs_qua,ckappa_manbase_qua
0,33001_sessie1_taskrobotEngagement,visible,0.3976083707025412,0.5294117647058824,0.39633447880870554,0.5164644714038127,0.3506594259115594,0.49630723781388475
1,33001_sessie2_taskrobotEngagement,visible,0.31281813975011563,0.6500867553499132,0.10225636101776292,0.7190293742017879,-0.10475161987041037,0.7451175107580271
2,33001_sessie3_taskrobotEngagement,visible,0.21999999999999997,0.5900900900900901,0.11363636363636365,0.5666666666666667,-0.0022026431718062955,0.5258358662613981
3,33002_sessie1_taskrobotEngagement,visible,0.12686567164179108,0.020725388601036343,0.15800415800415812,-0.018867924528301883,0.2021772939346812,-0.08000000000000007
4,33002_sessie2_taskrobotEngagement,visible,0.2639664804469273,0.10943912448700399,0.21660649819494582,0.034426229508196626,0.09533073929961078,-0.05740432612312807
5,33002_sessie3_taskrobotEngagement,visible,-0.05769230769230771,0.1346153846153847,-0.134453781512605,0.11764705882352944,-0.22009569377990434,0.06698564593301437
6,33003_sessie1_taskrobotEngagement,visible,0.039301310043668214,0.08396946564885499,0.09523809523809523,0.07216494845360821,0.14634146341463394,0.0625
7,33003_sessie3_robotEngagement1,visible,0.08823529411764719,0.49756888168557534,0.12676056338028163,0.6251162790697674,0.12676056338028163,0.6916153481762197
8,33003_sessie3_taskrobotEngagement,visible,0.15674603174603174,0.4086021505376345,0.0880503144654089,0.5283018867924528,-0.03389830508474567,0.6389124893797791
9,33004_sessie1_taskrobotEngagement,visible,-0.1200000000000001,0.11111111111111116,-0.1428571428571428,0.16666666666666663,-0.1685393258426966,0.2222222222222222
10,33004_sessie2_taskrobotEngagement,visible,0.3264248704663213,0.04092071611253201,0.28191489361702127,-0.0034305317324185847,0.18918918918918914,-0.05720122574055142
11,33004_sessie3_taskrobotEngagement,visible,0.28141592920353986,0.31993299832495803,0.3585564610011641,0.5377258235919236,0.3986622073578595,0.71152720889409
12,33005_sessie1_taskrobotEngagement,visible,0.1369863013698629,0.641025641025641,0.2222222222222221,0.5153846153846153,0.32258064516129037,0.326923076923077
13,33005_sessie2_taskrobotEngagement,visible,0.21203830369357046,0.09243697478991586,0.2016129032258065,0.1791530944625408,0.1595330739299612,0.21813031161473095
14,33005_sessie3_taskrobotEngagement,visible,0.2596153846153847,0.3092105263157895,0.39130434782608703,0.36040609137055846,0.5242718446601942,0.41666666666666663
15,33006_sessie1_taskrobotEngagement,visible,0.4455445544554455,0.297872340425532,0.4716981132075472,0.27586206896551735,0.5172413793103448,0.25
16,33006_sessie2_taskrobotEngagement,visible,0.2941176470588235,0.3271028037383177,0.0,0.4545454545454546,-0.31092436974789894,0.564516129032258
17,33006_sessie3_taskrobotEngagement,visible,0.18181818181818177,0.040000000000000036,0.25,0.052631578947368474,0.3076923076923077,0.0625
18,33007_sessie1_taskrobotEngagement,visible,0.40372670807453415,0.04878048780487798,0.4744525547445255,1.1102230246251565e-16,0.52,-0.034482758620689724
19,33007_sessie2_taskrobotEngagement,visible,0.723404255319149,0.0,0.8169014084507042,0.0,0.8907563025210083,0.0
20,33007_sessie3_taskrobotEngagement,visible,0.4700315457413249,0.35779816513761475,0.44000000000000006,0.4072580645161291,0.33333333333333337,0.4125874125874126
