,file,case,ckappa_manl2cs,ckappa_manl2cs_li,ckappa_manl2cs_qua
0,51007_sessie1_taskrobotEngagement,invisible,0.75,0.7222222222222222,0.6875
1,51007_sessie2_taskrobotEngagement,invisible,0.7058823529411764,0.7058823529411764,0.7058823529411764
2,51007_sessie3_taskrobotEngagement,invisible,0.536231884057971,0.5570469798657718,0.5984251968503936
3,51009_sessie1_taskrobotEngagement,invisible,0.09999999999999987,0.13197969543147214,0.1570996978851964
4,51009_sessie2_taskrobotEngagement,invisible,0.0,0.0,0.0
5,51009_sessie3_taskrobotEngagement,invisible,0.42664092664092657,0.3616133518776079,0.2827763496143959
6,51010_sessie1_taskrobotEngagement,invisible,0.287958115183246,0.2175732217573222,0.13731343283582098
7,51010_sessie2_taskrobotEngagement,invisible,0.1428571428571428,0.3571428571428572,0.5714285714285714
8,51010_sessie3_taskrobotEngagement,invisible,0.55,0.55,0.55
9,51011_sessie3_robotEngagement3,invisible,0.6666666666666667,0.6666666666666667,0.6666666666666667
10,51011_sessie3_taskEngagement1,invisible,0.5942028985507246,0.4226804123711341,0.13043478260869568
11,51011_sessie3_taskrobotEngagement,invisible,0.3025641025641027,0.4610951008645534,0.5912305516265912
12,51013_sessie1_taskrobotEngagement,invisible,0.0,0.0,0.0
13,51013_sessie2_taskrobotEngagement,invisible,0.0,0.0,0.0
14,51013_sessie3_taskrobotEngagement,invisible,1.0,1.0,1.0
15,51014_sessie1_taskrobotEngagement,invisible,0.23206751054852315,0.2284866468842729,0.21212121212121215
16,51014_sessie2_taskrobotEngagement,invisible,0.03649635036496357,-0.032863849765258246,-0.08774474256707765
17,51014_sessie3_taskrobotEngagement,invisible,0.22881355932203395,0.24858757062146886,0.2666666666666667
18,51015_sessie1_taskrobotEngagement,invisible,-0.1259842519685037,-0.019867549668874274,0.1243781094527362
19,51015_sessie2_taskrobotEngagement,invisible,0.5833333333333333,0.5518453427065027,0.509090909090909
20,51015_sessie3_taskrobotEngagement,invisible,0.27586206896551735,0.37777777777777777,0.46153846153846156
21,51016_sessie1_taskrobotEngagement,invisible,0.1910112359550562,0.38983050847457623,0.6
22,51016_sessie3_taskEngagement1,invisible,0.5409836065573771,0.2533333333333334,-0.19999999999999996
23,51016_sessie3_taskrobotEngagement,invisible,0.4736842105263158,0.4545454545454546,0.4285714285714286
24,51017_sessie1_taskrobotEngagement,invisible,0.7692307692307693,0.7096774193548387,0.6341463414634146
25,51017_sessie2_taskrobotEngagement,invisible,-0.07692307692307687,-0.1159420289855071,-0.3076923076923077
26,51017_sessie3_taskrobotEngagement,invisible,0.7307692307692308,0.8,0.8679245283018868
27,51019_sessie1_taskrobotEngagement,invisible,0.44897959183673475,0.23728813559322037,-0.025316455696202667
28,51019_sessie2_taskrobotEngagement,invisible,-0.022727272727272707,-0.25,-0.44628099173553726
29,51019_sessie3_taskrobotEngagement,invisible,0.21296296296296302,0.12969283276450505,0.008639308855291516
30,51020_sessie1_taskrobotEngagement,invisible,0.41666666666666663,0.4328358208955224,0.4540229885057472
31,51020_sessie2_taskrobotEngagement,invisible,0.27334851936218674,0.2564102564102564,0.22813688212927752
32,51020_sessie3_taskrobotEngagement,invisible,0.8811188811188811,0.8811188811188811,0.8811188811188811
33,51021_sessie1_taskrobotEngagement,invisible,0.2694965449160909,0.2024820378837361,0.1551286698079014
34,51021_sessie2_taskrobotEngagement,invisible,0.35747663551401865,0.24496644295302017,0.08163265306122458
35,51021_sessie3_taskrobotEngagement,invisible,0.6094674556213018,0.6271186440677966,0.6606683804627249
36,Proefpersoon11009_Sessie3,invisible,0.40740740740740744,0.4782608695652174,0.5238095238095238
37,Proefpersoon11009_sessie1,invisible,0.5672043010752688,0.6447876447876448,0.7281323877068557
38,Proefpersoon11009_sessie2,invisible,0.5942028985507246,0.7307692307692308,0.851063829787234
39,Proefpersoon11012_Sessie3,invisible,1.0,1.0,1.0
40,Proefpersoon11012_sessie1,invisible,0.04761904761904767,0.08163265306122458,0.1269841269841271
41,Proefpersoon11012_sessie2,invisible,0.14184397163120555,0.2576687116564417,0.42105263157894735
42,Proefpersoon11029_Sessie1,invisible,0.6037735849056604,0.6902654867256637,0.7953216374269005
43,Proefpersoon11029_sessie2,invisible,0.08808290155440412,0.07692307692307687,0.04761904761904767
44,Proefpersoon11029_sessie3,invisible,0.35214723926380365,0.5409582689335394,0.7036734693877551
