,file,case,krip_manl2cs,krip_manbase
0,33001_sessie1_taskrobotEngagement,visible,0.3721298495645289,0.531219980787704
1,33001_sessie2_taskrobotEngagement,visible,0.26148128484204924,0.6718797914750076
2,33001_sessie3_taskrobotEngagement,visible,0.1997907949790796,0.5924657534246576
3,33002_sessie1_taskrobotEngagement,visible,-0.04552352048558417,0.0026881720430107503
4,33002_sessie2_taskrobotEngagement,visible,0.2613960113960113,0.07241129616220132
5,33002_sessie3_taskrobotEngagement,visible,-0.1020408163265305,0.1183673469387756
6,33003_sessie1_taskrobotEngagement,visible,-0.12010443864229758,-0.010799136069114423
7,33003_sessie3_robotEngagement1,visible,0.07012195121951226,0.48609941027801173
8,33003_sessie3_taskrobotEngagement,visible,0.08961748633879785,0.36363636363636365
9,33004_sessie1_taskrobotEngagement,visible,-0.27519379844961245,0.019130434782608674
10,33004_sessie2_taskrobotEngagement,visible,0.3121076233183857,-0.19240097008892465
11,33004_sessie3_taskrobotEngagement,visible,0.24503311258278138,0.288135593220339
12,33005_sessie1_taskrobotEngagement,visible,-0.010958904109588996,0.6465517241379309
13,33005_sessie2_taskrobotEngagement,visible,0.1173271173271172,0.04361770365618989
14,33005_sessie3_taskrobotEngagement,visible,0.16481481481481486,0.28695652173913044
15,33006_sessie1_taskrobotEngagement,visible,0.44519392917369305,0.2779329608938548
16,33006_sessie2_taskrobotEngagement,visible,0.2247191011235956,0.24590163934426235
17,33006_sessie3_taskrobotEngagement,visible,0.11708860759493667,-0.14814814814814814
18,33007_sessie1_taskrobotEngagement,visible,0.3691275167785234,-0.06818181818181812
19,33007_sessie2_taskrobotEngagement,visible,0.7282608695652174,-0.16279069767441867
20,33007_sessie3_taskrobotEngagement,visible,0.46753246753246747,0.3289689034369886
21,33008_sessie1_taskrobotEngagement,visible,0.15384615384615397,-0.14520958083832336
22,33008_sessie2_taskrobotEngagement,visible,0.05017921146953408,0.0044198895027625085
23,33008_sessie3_taskrobotEngagement,visible,0.0076045627376425395,-0.03111111111111131
24,33010_sessie1_taskrobotEngagement,visible,0.04287901990811627,0.03252944475602915
25,33010_sessie2_taskrobotEngagement,visible,0.4529058116232465,0.04878048780487809
26,33010_sessie3_taskrobotEngagement,visible,0.08444275389882083,-0.0023223409196468925
27,33011_sessie2_robotEngagement1,visible,-0.010790225325293834,0.0697920338385618
28,33011_sessie2_taskrobotEngagement,visible,0.3227783452502553,0.03041825095057027
29,33011_sessie3_taskrobotEngagement,visible,0.10118043844856661,0.3582608695652173
30,33013_sessie3_robotEngagement3,visible,0.11180124223602506,0.3695150115473441
31,33013_sessie3_taskEngagement1,visible,0.10093457943925233,0.3226544622425629
32,33013_sessie3_taskrobotEngagement,visible,-0.022727272727272707,0.18181818181818177
33,Proefpersoon22016_Sessie1,visible,-0.31734317343173424,-0.25844155844155825
34,Proefpersoon22016_Sessie2,visible,0.7031346035648433,0.21169354838709675
35,Proefpersoon22016_Sessie3,visible,-0.16808149405772488,-0.12959719789842383
36,Proefpersoon22017_Sessie1,visible,-0.134020618556701,-0.22676579925650553
37,Proefpersoon22017_Sessie2,visible,0.4507772020725389,-0.22712238147739794
38,Proefpersoon22017_Sessie3,visible,0.4444444444444444,0.016393442622950727
39,Proefpersoon22018_Sessie1,visible,-0.15384615384615374,-0.15384615384615397
40,Proefpersoon22018_Sessie2,visible,0.08522727272727271,0.018292682926829396
41,Proefpersoon22018_Sessie3,visible,0.3671875,0.04330708661417337
42,Proefpersoon22030_Sessie1,visible,0.125,0.24423963133640558
43,Proefpersoon22030_Sessie2_Poging2,visible,-0.07980652962515133,-0.018575851393188847
44,Proefpersoon22030_Sessie3,visible,0.012135922330097082,0.07499999999999996
