,file,case,ckappa_manl2cs,ckappa_manl2cs_li,ckappa_manl2cs_qua
0,51007_sessie1_taskrobotEngagement,invisible,0.6405228758169934,0.4811320754716981,0.254237288135593
1,51007_sessie2_taskrobotEngagement,invisible,0.47643979057591623,0.3659420289855073,0.28716904276985744
2,51007_sessie3_taskrobotEngagement,invisible,0.4609800362976406,0.35152838427947597,0.17405063291139233
3,51009_sessie1_taskrobotEngagement,invisible,0.06832298136645976,0.017094017094017033,-0.015625
4,51009_sessie2_taskrobotEngagement,invisible,-0.014925373134328401,-0.08024691358024705,-0.13128491620111737
5,51009_sessie3_taskrobotEngagement,invisible,0.3342002600780234,0.2245557350565428,0.1351351351351351
6,51010_sessie1_taskrobotEngagement,invisible,0.23611111111111116,0.24528301886792447,0.2533333333333333
7,51010_sessie2_taskrobotEngagement,invisible,0.11111111111111116,0.28205128205128205,0.36585365853658536
8,51010_sessie3_taskrobotEngagement,invisible,0.33333333333333337,0.16666666666666663,0.0
9,51011_sessie3_robotEngagement3,invisible,0.2647058823529411,0.09090909090909083,-0.03896103896103886
10,51011_sessie3_taskEngagement1,invisible,0.49473684210526314,0.2582781456953642,-0.023569023569023573
11,51011_sessie3_taskrobotEngagement,invisible,0.23404255319148937,0.2823179791976227,0.2558558558558558
12,51013_sessie1_taskrobotEngagement,invisible,0.09090909090909083,0.31818181818181823,0.5454545454545454
13,51013_sessie2_taskrobotEngagement,invisible,0.1327433628318584,0.21052631578947367,0.20869565217391306
14,51013_sessie3_taskrobotEngagement,invisible,0.5625,0.2222222222222221,-0.10526315789473695
15,51014_sessie1_taskrobotEngagement,invisible,0.18158567774936063,0.18012422360248448,0.15981735159817356
16,51014_sessie2_taskrobotEngagement,invisible,0.03076923076923077,-0.06530160486995018,-0.18272841051314148
17,51014_sessie3_taskrobotEngagement,invisible,0.17525773195876293,0.10069444444444453,-0.048309178743961345
18,51015_sessie1_taskrobotEngagement,invisible,-0.11055276381909551,-0.07301587301587298,-0.06793048973143767
19,51015_sessie2_taskrobotEngagement,invisible,0.4854881266490765,0.4,0.2861896838602329
20,51015_sessie3_taskrobotEngagement,invisible,0.21938775510204078,0.17741935483870974,0.06682577565632464
21,51016_sessie1_taskrobotEngagement,invisible,0.15867158671586723,0.20309050772626935,0.149843912591051
22,51016_sessie3_taskEngagement1,invisible,0.4514285714285714,0.11764705882352944,-0.27407407407407414
23,51016_sessie3_taskrobotEngagement,invisible,0.3159609120521173,0.2420382165605095,0.1638225255972695
24,51017_sessie1_taskrobotEngagement,invisible,0.7692307692307693,0.7096774193548387,0.6341463414634146
25,51017_sessie2_taskrobotEngagement,invisible,-0.07692307692307687,-0.1159420289855071,-0.3076923076923077
26,51017_sessie3_taskrobotEngagement,invisible,0.6399999999999999,0.5989304812834224,0.5045045045045045
27,51019_sessie1_taskrobotEngagement,invisible,0.44897959183673475,0.23728813559322026,-0.025316455696202445
28,51019_sessie2_taskrobotEngagement,invisible,-0.08196721311475419,-0.3663366336633662,-0.5142857142857142
29,51019_sessie3_taskrobotEngagement,invisible,0.17721518987341778,0.07749077490774914,-0.026936026936026813
30,51020_sessie1_taskrobotEngagement,invisible,0.41666666666666663,0.4328358208955224,0.45402298850574707
31,51020_sessie2_taskrobotEngagement,invisible,0.27334851936218674,0.2564102564102564,0.22813688212927752
32,51020_sessie3_taskrobotEngagement,invisible,0.8811188811188811,0.8811188811188811,0.8811188811188811
33,51021_sessie1_taskrobotEngagement,invisible,0.18545454545454543,0.10120177103099293,0.030012771392081805
34,51021_sessie2_taskrobotEngagement,invisible,0.32499999999999996,0.17974683544303793,-0.016129032258064502
35,51021_sessie3_taskrobotEngagement,invisible,0.49317738791423005,0.3838862559241706,0.19402985074626866
36,Proefpersoon11009_Sessie3,invisible,0.3571428571428572,0.55,0.6823529411764706
37,Proefpersoon11009_sessie1,invisible,0.48103792415169655,0.5621761658031088,0.6213592233009709
38,Proefpersoon11009_sessie2,invisible,0.49473684210526314,0.6121212121212121,0.6888888888888889
39,Proefpersoon11012_Sessie3,invisible,1.0,1.0,1.0
40,Proefpersoon11012_sessie1,invisible,0.04761904761904767,0.08163265306122458,0.12698412698412698
41,Proefpersoon11012_sessie2,invisible,0.11111111111111116,0.1466498103666245,0.13639106819553415
42,Proefpersoon11029_Sessie1,invisible,0.5208333333333334,0.4651162790697675,0.33908045977011503
43,Proefpersoon11029_sessie2,invisible,0.07958477508650508,0.05206073752711493,0.014814814814814836
44,Proefpersoon11029_sessie3,invisible,0.29567519858782,0.3819517313746066,0.40654437283093703
