yaw,pitch,class
-0.16930327576684434,0.04812012510442374,3.0
-0.15668868063146604,0.03616865708047514,3.0
-0.17912022017709445,0.04029309466068086,3.0
-0.15717763700760456,-0.007600928067195154,3.0
-0.15887726641529315,0.00639824451891537,3.0
-0.07013727678443583,-0.10785456203879205,0.0
-0.11630983218368461,-0.044017259129047664,3.0
-0.08861375579518757,-0.07257140602076825,0.0
-0.34860512353028217,-0.6467052611999746,1.0
0.14219469271481877,-1.1413669273417997,1.0
0.28111289834051306,-1.191658061366856,1.0
0.33758229977844423,-1.2109393476590296,1.0
-0.10963381996307398,-1.2764009125176135,1.0
0.42385114223381704,-1.1656922407385832,1.0
-0.15024942343176345,-1.213064017576695,1.0
0.624501688243657,-1.1213815012574089,1.0
0.11213293033000434,-1.0422938726814348,1.0
0.16506911594972737,-1.0770031174845465,1.0
-0.06287243964680866,-1.0960781419502936,1.0
0.2588776337672235,-1.112677758182812,1.0
-0.714569796310137,-1.062233226078967,1.0
-0.7700732692206963,-1.0698875505260181,1.0
-0.7759599204942074,-1.0899565998686376,1.0
-1.0320654698827676,-1.145617066125457,1.0
-1.085555859325336,-1.0329475088358018,1.0
-0.4135479046085185,-1.0948945000038077,1.0
-1.1526404877102685,-1.1711229588334728,1.0
-0.8719929767702468,-1.079203687493279,1.0
-1.147197918548528,-1.0888560485481622,1.0
-1.4963244890202478,-1.0653323466394924,1.0
-0.9879808327781407,-1.0658900125717548,1.0
-0.8361819822241693,-1.0678722033711008,1.0
-0.23563116692803085,-1.0661020001945252,1.0
-0.18601434529098257,-1.047611140113887,1.0
0.3865975133252436,-0.9390171513984344,1.0
0.018131599649586477,-0.9468994424347965,1.0
-0.23196239621033768,-0.9132128514902752,1.0
0.7646697153689256,-1.067146491974054,2.0
0.563564834077118,-0.9967977601990662,2.0
-0.04190697028126888,-1.0143163001657163,1.0
0.751746726179316,-0.9206778251838218,2.0
0.25031530454650974,-0.9688888972394717,1.0
-0.5067143342871965,-0.9859648198329508,1.0
0.7163791479547368,-0.8141134315351187,2.0
0.14884913333059976,-0.9574920325125322,1.0
-0.6200195881290537,-1.0143185638526429,1.0
