yaw,pitch,class
-0.11541261321243693,-0.3670768088510718,1.0
-0.1197644847497354,-0.32072821850376876,1.0
-0.09581387811832578,-0.34468335250903154,1.0
-0.10180332740991399,-0.32225793823391025,1.0
-0.11568185879864393,-0.3233117510772546,1.0
-0.13644732476631877,-0.31803523000948064,1.0
-0.1172240953859088,-0.32812594737979084,1.0
-0.11867258870280292,-0.3475462506808667,1.0
-0.12258290813136626,-0.3325981937983609,1.0
-0.13805560774861764,-0.35574958578663773,1.0
-0.11880042043512672,-0.3380715224706918,1.0
-0.10492428589137785,-0.3581560181476334,1.0
-0.10875524311945683,-0.36039120925053686,1.0
-0.10567316678990814,-0.37223668346310035,1.0
-0.10010662747942452,-0.3972168681719346,1.0
-0.09445486701405835,-0.39361254595262135,1.0
-0.11675458008572785,-0.3877280252079822,1.0
-0.09443462698977376,-0.4094623491802279,1.0
-0.10528780738017367,-0.39325062236047953,1.0
-0.09544503030734981,-0.3956498641865319,1.0
-0.07648465492653068,-0.38479002589340683,1.0
-0.07793661035284188,-0.39431348995153015,1.0
-0.09560695050162664,-0.3851887011085917,1.0
-0.11193665535766549,-0.3952424005397498,1.0
-0.16499907481305828,-0.36853382428345416,1.0
-0.1328078488206165,-0.37529532397505627,1.0
-0.122472919578346,-0.3799270937429221,1.0
-0.11352682884455181,-0.38427816633189354,1.0
-0.13575650077955223,-0.3909517817075232,1.0
-0.15022012865977255,-0.390542187531869,1.0
-0.15211603303979998,-0.3801390813656924,1.0
-0.14117922939117156,-0.3901773344625281,1.0
-0.14204981675151845,-0.3826959823282775,1.0
-0.11364001319088018,-0.3809433560148964,1.0
-0.10921197524640543,-0.37801760724133526,1.0
-0.13094496763810606,-0.37057034356903773,1.0
-0.15637629183559973,-0.3584178068827882,1.0
-0.14845099074763293,-0.36068016222881044,1.0
-0.13866360742548273,-0.367284269099989,1.0
-0.13825268166928348,-0.36853462323178116,1.0
-0.14892157131224992,-0.3706944468758354,1.0
-0.1620453628480514,-0.35522867147741827,1.0
-0.18417995993213598,-0.3576028795892239,1.0
-0.18187126558314629,-0.36754632415125277,1.0
-0.16646354709649286,-0.3688571320397897,1.0
-0.1863040972175832,-0.37250326588821725,1.0
-0.156855660831814,-0.3712830054767429,1.0
-0.155948588164533,-0.3699833828647842,1.0
-0.1795995891733087,-0.37541543254021886,1.0
-0.15355200949957068,-0.38558284894992345,1.0
-0.13903378681700373,-0.3596071746256176,1.0
-0.14709810491387268,-0.37386946752742795,1.0
-0.14910532942746538,-0.3746401863468968,1.0
-0.16290875967345508,-0.37855236998822317,1.0
-0.18472590795560223,-0.46186084257586396,1.0
-0.18334692314315917,-0.5965637968281808,1.0
-0.1265536813166744,-0.6456471872988863,1.0
-0.07542631470933318,-0.6022081004424947,1.0
-0.11903877335268881,-0.5835931370550589,1.0
-0.0727578272970738,-0.6015867849601793,1.0
-0.151747185228824,-0.6507122533761079,1.0
-0.20780885670386404,-0.6457976559004757,1.0
-0.2616750181762427,-0.5327179718029481,1.0
-0.19559426836421562,-0.4151993308004766,1.0
-0.19917515476593614,-0.4028601065218125,1.0
-0.20336164399954068,-0.40120841401374535,1.0
-0.22182693773371412,-0.3869921937987933,1.0
-0.2006052722713087,-0.3738899738678215,1.0
-0.08189726352600772,-0.22215477286390287,1.0
-0.07727694535082925,-0.18337169054129696,1.0
-0.07971933038654092,-0.18147631879348755,1.0
-0.10244381765207805,-0.1822885829259617,1.0
-0.08183414660817284,-0.14439419745911522,0.0
-0.08092361183147476,-0.13807185303126712,0.0
-0.07941626265448991,-0.14389165896141728,1.0
-0.07873103130601253,-0.15560264353893172,1.0
-0.06956389820174176,-0.14303784951593787,1.0
-0.061128601765024784,-0.14071184461986266,1.0
-0.08109485308956685,-0.14696414791104168,1.0
-0.10533654322812212,-0.2112129092092033,1.0
-0.14224449382720325,-0.28016428036022684,1.0
-0.16861351704451383,-0.29029174935358015,1.0
-0.19096862386685695,-0.2894547178229683,0.0
-0.17503626264545794,-0.2857752944609148,0.0
-0.16186906158388817,-0.3596300778109922,1.0
-0.17068199426317837,-0.3530880225932126,1.0
-0.17247190483182062,-0.3702299915817256,1.0
-0.186835131538945,-0.3567248353778248,1.0
