yaw,pitch,pred_class,filtered_class,base_face,l2cs_face
-0.8570209384469009,-0.33107000051421015,0.0,3.0,1.0,1.0
-1.1994047877325722,-0.4536847656826741,0.0,3.0,1.0,1.0
-1.4202463155500857,-0.5032598113807646,0.0,3.0,1.0,1.0
-1.5298542497593668,-0.5355257778432344,0.0,3.0,1.0,1.0
-1.5628266023396649,-0.5675717498477312,0.0,3.0,1.0,1.0
-1.599292123746184,-0.5894913129405513,0.0,0.0,1.0,1.0
-1.6683301943387017,-0.6041802871987706,0.0,0.0,1.0,1.0
-1.6979931451807746,-0.6187537708084311,0.0,0.0,1.0,1.0
-1.5938217533450583,-0.6390676147596486,0.0,0.0,1.0,1.0
-1.6426109460439646,-0.6440548192141472,0.0,0.0,1.0,1.0
-1.6050162751370665,-0.6500500848619961,0.0,0.0,1.0,1.0
-1.635760856992308,-0.6526232676874351,0.0,0.0,1.0,1.0
-1.592441412288783,-0.6666959096405509,0.0,0.0,1.0,1.0
-1.5586056523564973,-0.6813639223149787,0.0,0.0,1.0,1.0
-1.3868150021775072,-0.6899357078053505,0.0,0.0,1.0,1.0
-1.508324186942762,-0.6847488500423559,0.0,0.0,1.0,1.0
-1.2940172828634506,-0.6972827782615285,0.0,0.0,1.0,1.0
-1.1241253146442478,-0.7074401674991797,0.0,0.0,1.0,1.0
-1.307299692667778,-0.6620730907495344,3.0,0.0,1.0,1.0
-1.4550185188323321,-0.6432309637583108,0.0,0.0,1.0,1.0
-1.531152908143585,-0.6354714135582604,0.0,0.0,1.0,1.0
-1.5774227015255877,-0.6250132858460392,0.0,0.0,1.0,1.0
-1.6140902713361533,-0.6167039119748959,0.0,0.0,1.0,1.0
-1.6972002376110016,-0.617991493302363,0.0,0.0,1.0,1.0
-1.6845851903260791,-0.6283283589436786,0.0,0.0,1.0,1.0
-1.6647877934002344,-0.6377294996060814,0.0,0.0,1.0,1.0
-1.6659905690443744,-0.6425097761688803,0.0,0.0,1.0,1.0
-1.6558171692628325,-0.6547439129710773,0.0,0.0,1.0,1.0
-1.6830983478672477,-0.6473966190276959,0.0,0.0,1.0,1.0
-1.6783394589160543,-0.6474037560734199,0.0,0.0,1.0,1.0
-1.6480478974874393,-0.6591337293807823,0.0,0.0,1.0,1.0
-1.6225821305240744,-0.6681910363074927,0.0,0.0,1.0,1.0
-1.599924508017668,-0.6735329296256939,0.0,0.0,1.0,1.0
-1.5641113450600808,-0.6643463422704983,0.0,0.0,1.0,1.0
-1.545427118010326,-0.6562441449643456,0.0,0.0,1.0,1.0
-1.5663443479487111,-0.6507637367780279,0.0,0.0,1.0,1.0
-1.519444047088421,-0.6774981314130492,0.0,0.0,1.0,1.0
-1.4918858160351627,-0.7071947089720094,0.0,0.0,1.0,1.0
-1.4698985938909719,-0.729671522215988,0.0,0.0,1.0,1.0
-1.4664639442618597,-0.7543126329560776,0.0,0.0,1.0,1.0
-1.4527160375395232,-0.7487546254572858,0.0,0.0,1.0,1.0
-1.4567435336138226,-0.734558013807475,0.0,0.0,1.0,1.0
-1.4428753332018727,-0.722615361748321,0.0,0.0,1.0,1.0
-1.4604010728528163,-0.7126689032464032,0.0,0.0,1.0,1.0
-1.4455186967268057,-0.700718060083995,0.0,0.0,1.0,1.0
-1.4150341845747985,-0.6815233470465731,0.0,0.0,1.0,1.0
-1.3955373370685513,-0.6694688311239693,0.0,0.0,1.0,1.0
-1.3651690888148829,-0.6549717670919889,0.0,0.0,1.0,1.0
-1.3844089715291525,-0.6597591612224715,0.0,0.0,1.0,1.0
-1.4038721319506962,-0.6586552510256369,0.0,0.0,1.0,1.0
-1.3843313314140615,-0.659517239067762,0.0,0.0,1.0,1.0
-1.382793071583318,-0.6576899824812905,0.0,0.0,1.0,1.0
-1.402878964349276,-0.6590323793138458,0.0,0.0,1.0,1.0
-1.4189476785612887,-0.6601062967798398,0.0,0.0,1.0,1.0
-1.4210341580624384,-0.6574595922302966,0.0,0.0,1.0,1.0
