yaw,pitch,m2_class,m2prop_class,flt_m2_class,flt_prop_class,face
0.39656265940239926,-0.5254692208078567,2.0,2.0,1.0,1.0,1.0
0.4203662389851827,-0.725782466961767,2.0,2.0,2.0,2.0,1.0
0.4321424326122406,-0.8452252302333397,2.0,2.0,2.0,2.0,1.0
0.6046483251194094,-0.9263504587063146,2.0,2.0,2.0,2.0,1.0
0.32142555069896833,-0.9994120841742438,3.0,3.0,2.0,2.0,1.0
0.619092317398644,-1.05238825677597,2.0,2.0,2.0,2.0,1.0
0.7916343391545754,-1.090777367726934,2.0,2.0,2.0,2.0,1.0
0.4650413107775453,-1.0906630372367325,3.0,3.0,2.0,2.0,1.0
0.2876301853454444,-1.0911853710305202,3.0,3.0,2.0,2.0,1.0
0.11004094075166088,-1.0944864703595825,3.0,3.0,2.0,2.0,1.0
0.0744599362513909,-1.0887923059217028,2.0,2.0,2.0,2.0,1.0
0.07194086741120423,-1.1022940346798635,2.0,2.0,2.0,2.0,1.0
-0.2045711882236829,-1.0986898152179003,3.0,3.0,3.0,3.0,1.0
-0.49891341328728434,-1.1146049628183299,3.0,3.0,3.0,3.0,1.0
-0.7582744782662851,-1.1004591299434199,3.0,3.0,3.0,3.0,1.0
-0.9761332118985895,-1.0923292522680155,3.0,3.0,3.0,3.0,1.0
-1.1462141677265993,-1.0994948351080178,3.0,3.0,3.0,3.0,1.0
-1.1808101414586134,-1.0951302204513251,3.0,3.0,3.0,3.0,1.0
-1.299947084118355,-1.0956611144381896,3.0,3.0,3.0,3.0,1.0
-1.4067580826052475,-1.0869801264067684,3.0,3.0,3.0,3.0,1.0
-1.5253708260666052,-1.0913623071668133,3.0,3.0,3.0,3.0,1.0
-1.6652917281224733,-1.0887770623710529,3.0,3.0,3.0,3.0,1.0
-1.0836394424340576,-1.0974954155986039,2.0,2.0,3.0,3.0,1.0
-1.0207313747931301,-1.108436737268493,3.0,3.0,3.0,3.0,1.0
-1.154154588883705,-1.131835845409608,3.0,3.0,3.0,3.0,1.0
-1.2640051515126023,-1.1455631089605813,3.0,3.0,3.0,3.0,1.0
-1.3568984726109032,-1.165219779123275,3.0,3.0,3.0,3.0,1.0
-1.4217395665225285,-1.1822467680243582,3.0,3.0,3.0,3.0,1.0
-1.1374337628472413,-1.190385272893286,2.0,2.0,3.0,3.0,1.0
-0.7178085989835185,-1.1899531601789515,2.0,2.0,3.0,3.0,1.0
-0.7445849373810739,-1.1899942685358487,3.0,3.0,3.0,3.0,1.0
-1.0166012325135703,-1.1914801505655355,3.0,3.0,3.0,3.0,1.0
-1.0881050838548343,-1.18968992171002,3.0,3.0,3.0,3.0,1.0
-1.2850178403061632,-1.1866932912010268,3.0,3.0,3.0,3.0,1.0
-1.220673082682558,-1.1838646083996651,3.0,3.0,3.0,3.0,1.0
-1.3655313550498627,-1.1840179489091225,3.0,3.0,3.0,3.0,1.0
-1.2732704910166857,-1.1968362310332616,3.0,3.0,3.0,3.0,1.0
-0.9318641121502031,-1.2007032904857453,2.0,2.0,3.0,3.0,1.0
-0.4905688054709801,-1.2049516047302404,2.0,2.0,3.0,3.0,1.0
-0.7369260426884606,-1.2040917814572032,3.0,3.0,3.0,3.0,1.0
-0.976814741035841,-1.2099271496245412,3.0,3.0,3.0,3.0,1.0
-0.5314613360307747,-1.215241447104395,2.0,2.0,3.0,3.0,1.0
-0.11594751440821344,-1.2069110200917543,2.0,2.0,2.0,2.0,1.0
-0.12504127640510296,-1.1938683544075677,3.0,3.0,2.0,2.0,1.0
-0.054745860068802804,-1.1850868198747393,2.0,2.0,2.0,2.0,1.0
-0.31571904456158884,-1.1773440301348181,3.0,3.0,3.0,3.0,1.0
-0.7498951631506027,-1.1557678059817522,3.0,3.0,3.0,3.0,1.0
-0.5675536098761433,-1.1700032872208994,2.0,2.0,3.0,3.0,1.0
-0.8697968221369284,-1.175173776954497,3.0,3.0,3.0,3.0,1.0
-0.6222361006961795,-1.1854717115032551,2.0,2.0,3.0,3.0,1.0
-0.800600736123911,-1.1815616237203361,3.0,3.0,3.0,3.0,1.0
-0.8255607505459324,-1.1858884870714919,3.0,3.0,3.0,3.0,1.0
-0.35838860850629106,-1.1570891367263454,2.0,1.0,3.0,3.0,1.0
0.004815983416778802,-1.1102636331740958,2.0,1.0,2.0,2.0,1.0
0.039041879902823234,-0.9613534540827331,2.0,2.0,2.0,2.0,1.0
0.07984514203828985,-0.8215810186734394,1.0,1.0,2.0,2.0,1.0
0.09890403229002837,-0.7027684907970831,1.0,1.0,2.0,2.0,1.0
0.10990920824376414,-0.6228669016197946,2.0,1.0,2.0,2.0,1.0
0.1327715905058712,-0.5383757468609576,1.0,1.0,2.0,2.0,1.0
0.15938419430135448,-0.48216006028385006,1.0,1.0,2.0,2.0,1.0
0.1770566393129257,-0.4133664938094389,1.0,1.0,2.0,2.0,1.0
0.19246332526547952,-0.357258439973901,1.0,1.0,2.0,1.0,1.0
0.20510649567200248,-0.29965060901040685,1.0,1.0,1.0,1.0,1.0
0.22080658627788535,-0.2561953876069708,1.0,1.0,1.0,1.0,1.0
0.21866877923287825,-0.2155496192167919,1.0,1.0,1.0,1.0,1.0
0.21352433410799318,-0.18746572961265026,1.0,1.0,1.0,1.0,1.0
0.21928527070031142,-0.17112591243895175,1.0,1.0,1.0,1.0,1.0
0.22309102364228484,-0.158906696354594,1.0,1.0,1.0,1.0,1.0
0.22720770812428576,-0.15332798599607728,1.0,1.0,1.0,1.0,1.0
0.22281330859115434,-0.1464233250954357,1.0,1.0,1.0,1.0,1.0
0.22727560758931264,-0.1424305944223874,1.0,1.0,1.0,1.0,1.0
0.24725472689724992,-0.14122888048510251,1.0,1.0,1.0,1.0,1.0
0.25247235342661956,-0.12517345796181056,1.0,1.0,1.0,1.0,1.0
0.25251274926931605,-0.11312433984467474,1.0,1.0,1.0,1.0,1.0
0.25657570699008636,-0.09638654925502527,1.0,1.0,1.0,1.0,1.0
