yaw,pitch,pred_class,filtered_class,base_face,l2cs_face
-1.181609207589779,-0.1608764689680414,3.0,3.0,1.0,1.0
-1.4963137596618798,-0.22927739179399675,3.0,3.0,1.0,1.0
-1.557928317589453,-0.24183194921835663,3.0,3.0,1.0,1.0
-1.5687582254209687,-0.23376165649918845,3.0,3.0,1.0,1.0
-1.6009905212265876,-0.24988708447199204,3.0,3.0,1.0,1.0
-1.572336357572657,-0.24034490667627711,3.0,3.0,1.0,1.0
-1.5874654220909818,-0.25376555895962954,3.0,3.0,1.0,1.0
-1.7160920650463616,-0.2762871468784776,3.0,3.0,1.0,1.0
-1.7687048190969556,-0.2676065601678081,3.0,3.0,1.0,1.0
-1.7600189786204978,-0.2666361428776512,3.0,3.0,1.0,1.0
-1.7793267399220218,-0.2682815290383023,3.0,3.0,1.0,1.0
-1.8126847740515133,-0.26422275074774987,3.0,3.0,1.0,1.0
-1.7784131791403748,-0.27366841692650046,3.0,3.0,1.0,1.0
-1.7745587707438457,-0.2718726895616666,3.0,3.0,1.0,1.0
-1.5837607830841927,-0.2717802407711513,3.0,3.0,1.0,1.0
-1.544452144313632,-0.28377572080159646,3.0,3.0,1.0,1.0
-1.6465596266938505,-0.3040282509580946,3.0,3.0,1.0,1.0
-1.6579525537989994,-0.29225154042878465,3.0,3.0,1.0,1.0
-1.6140539638108409,-0.2871460713627133,3.0,3.0,1.0,1.0
-1.598342478627457,-0.29137511877541733,3.0,3.0,1.0,1.0
-1.4410310538122801,-0.2875763474801329,3.0,3.0,1.0,1.0
-1.3721092371682901,-0.2685715605772501,3.0,3.0,1.0,1.0
-1.4143945457199525,-0.27613323612817026,3.0,3.0,1.0,1.0
-1.409966430051021,-0.2802797680324873,3.0,3.0,1.0,1.0
-1.5042313537771723,-0.2996691697564994,3.0,3.0,1.0,1.0
-1.3738705257290234,-0.31931654677167454,3.0,3.0,1.0,1.0
-1.3328742681728865,-0.3122724656607309,3.0,3.0,1.0,1.0
-1.1968082222601168,-0.3214152434808124,3.0,3.0,1.0,1.0
-1.2654237377114628,-0.33733169473415897,3.0,3.0,1.0,1.0
-1.3937009586090965,-0.3353533881014373,3.0,3.0,1.0,1.0
-1.2795091800919467,-0.33592418002456315,3.0,3.0,1.0,1.0
-1.1156331535191195,-0.3414801321077851,3.0,3.0,1.0,1.0
-0.9198242637908245,-0.3561461095002809,0.0,3.0,1.0,1.0
-0.7949753624748261,-0.3671460383338747,3.0,3.0,1.0,1.0
-0.9779678744044049,-0.3693429895052059,3.0,3.0,1.0,1.0
-1.090912927266751,-0.36748333772069264,3.0,3.0,1.0,1.0
-1.1904961761121413,-0.3520309570569713,3.0,3.0,1.0,1.0
-1.2984842387383573,-0.3400630945972332,3.0,3.0,1.0,1.0
-1.3982919313556526,-0.3325785875826808,3.0,3.0,1.0,1.0
-1.4901307243127464,-0.32463217382142584,3.0,3.0,1.0,1.0
-1.6060472729462085,-0.3373418385195328,3.0,3.0,1.0,1.0
-1.6876271921703947,-0.3491203565475344,3.0,3.0,1.0,1.0
-1.7450659075884687,-0.34127640607767806,3.0,3.0,1.0,1.0
-1.8483920225055541,-0.3484082378706723,3.0,3.0,1.0,1.0
-1.8349762084752126,-0.34266631836612044,3.0,3.0,1.0,1.0
-1.78430732612439,-0.3486185811259551,3.0,3.0,1.0,1.0
