yaw,pitch,pred_class,filtered_class,base_face,l2cs_face
-0.33684446775068044,-0.20570705749399926,0.0,0.0,1.0,1.0
-0.4451279334676108,-0.2754106448814113,0.0,0.0,1.0,1.0
-0.5167811746904978,-0.32190883112571156,0.0,0.0,1.0,1.0
-0.5462061186087056,-0.35645655443669866,0.0,0.0,1.0,1.0
-0.5919705911379597,-0.38505726669127,0.0,0.0,1.0,1.0
-0.6214188782239807,-0.4056486145804937,0.0,0.0,1.0,1.0
-0.6435414500721636,-0.4190136742990091,0.0,0.0,1.0,1.0
-0.6642344871971894,-0.42838733502895504,0.0,0.0,1.0,1.0
-0.661897393584203,-0.42653585054725507,0.0,0.0,1.0,1.0
-0.6718270041718518,-0.4280276378051633,0.0,0.0,1.0,1.0
-0.6689519775784134,-0.42729200008881024,0.0,0.0,1.0,1.0
-0.6614727939357272,-0.42554210227068034,0.0,0.0,1.0,1.0
-0.6624033401363727,-0.41508991755361535,0.0,0.0,1.0,1.0
-0.6689830132016098,-0.4072180833338078,0.0,0.0,1.0,1.0
-0.692037161673347,-0.41387959754939924,0.0,0.0,1.0,1.0
-0.7168562724513519,-0.42428932682968196,0.0,0.0,1.0,1.0
-0.7429648489591525,-0.4449460135972733,0.0,0.0,1.0,1.0
-0.7844715703564143,-0.4692541931238857,0.0,0.0,1.0,1.0
-0.8237752183016307,-0.4843872544440036,0.0,0.0,1.0,1.0
-0.8490602530736692,-0.4937911186533725,0.0,0.0,1.0,1.0
-0.8648110473097308,-0.4988272325584055,0.0,0.0,1.0,1.0
-0.8735162018595866,-0.5022834111669174,0.0,0.0,1.0,1.0
-0.8891778336138056,-0.5074965886602114,0.0,0.0,1.0,1.0
-0.8913532777852782,-0.512381125951615,0.0,0.0,1.0,1.0
-0.8888461426404084,-0.5082684047820708,0.0,0.0,1.0,1.0
-0.8789587307521282,-0.5079335645657699,0.0,0.0,1.0,1.0
-0.8725641628609891,-0.5116952509826445,0.0,0.0,1.0,1.0
-0.8663990839043662,-0.5141026537501739,0.0,0.0,1.0,1.0
-0.8408562295715678,-0.505630114777031,0.0,0.0,1.0,1.0
-0.8262780269297895,-0.5002970257247703,0.0,0.0,1.0,1.0
-0.8156829302515861,-0.5008480123892244,0.0,0.0,1.0,1.0
-0.8172066130377075,-0.508326051092888,0.0,0.0,1.0,1.0
-0.8328407252820202,-0.5216930558894194,0.0,0.0,1.0,1.0
-0.8236865960223656,-0.5236488211814151,0.0,0.0,1.0,1.0
-0.785080252058475,-0.514816183386217,0.0,0.0,1.0,1.0
-0.753474423324804,-0.5107665839323657,0.0,0.0,1.0,1.0
-0.7709982171419277,-0.5456470766328229,0.0,0.0,1.0,1.0
-0.7301961834475559,-0.5501569823553911,0.0,0.0,1.0,1.0
-0.6865692841116917,-0.5365058645605894,0.0,0.0,1.0,1.0
-0.6522565904213592,-0.5685497495489633,1.0,0.0,1.0,1.0
-0.634787324664596,-0.5951086544757751,1.0,0.0,1.0,1.0
-0.6450378899385899,-0.6145095151296326,0.0,0.0,1.0,1.0
-0.6208462602877562,-0.631673054378259,1.0,0.0,1.0,1.0
-0.5669639011746814,-0.6440647417930451,1.0,0.0,1.0,1.0
-0.49688471945412427,-0.6544973548498235,2.0,1.0,1.0,1.0
-0.49937310136774116,-0.6196798889958588,0.0,1.0,1.0,1.0
-0.5355408456256251,-0.6195807953588172,0.0,0.0,1.0,1.0
-0.4837887167760506,-0.6178171243217784,1.0,1.0,1.0,1.0
-0.4584554624749442,-0.6142427952118572,1.0,1.0,1.0,1.0
-0.4527675354833134,-0.629768677568362,1.0,1.0,1.0,1.0
-0.46498845085874546,-0.6258891864171224,0.0,1.0,1.0,1.0
-0.49896080061257553,-0.6171726086559172,0.0,1.0,1.0,1.0
-0.5227164118861891,-0.6220181890500355,0.0,0.0,1.0,1.0
-0.5491108533501913,-0.6373829444128757,0.0,0.0,1.0,1.0
-0.569483544366269,-0.6479887546798184,0.0,0.0,1.0,1.0
-0.589867252607191,-0.6477657183400238,0.0,0.0,1.0,1.0
-0.5269969486204404,-0.628030419066163,1.0,1.0,1.0,1.0
-0.49577724789916167,-0.6090337629555099,1.0,1.0,1.0,1.0
-0.45233827085364375,-0.5951299886717442,1.0,1.0,1.0,1.0
-0.41758708921734145,-0.5840069692447674,1.0,1.0,1.0,1.0
-0.39653518000607213,-0.5807942961040922,1.0,1.0,1.0,1.0
-0.44297584624929487,-0.5675148944264485,0.0,1.0,1.0,1.0
-0.47716492010924244,-0.5438377292116423,0.0,0.0,1.0,1.0
-0.4752756291660915,-0.5146076731166076,0.0,0.0,1.0,1.0
-0.5028548637365098,-0.4939605056296415,0.0,0.0,1.0,1.0
-0.5003350374760868,-0.47341580575576253,0.0,0.0,1.0,1.0
-0.48963924205329573,-0.45316607959633687,0.0,0.0,1.0,1.0
-0.46947452568206877,-0.4702410051191306,1.0,0.0,1.0,1.0
-0.3878442763137919,-0.48909703914021874,2.0,0.0,1.0,1.0
-0.3354220533279957,-0.5120256214524775,2.0,1.0,1.0,1.0
-0.31926314165910935,-0.5415705417954848,1.0,1.0,1.0,1.0
-0.3046399515521726,-0.5603869021819519,1.0,1.0,1.0,1.0
-0.3152482498100144,-0.585801231764966,1.0,1.0,1.0,1.0
