yaw,pitch,face,class
20.0,5.0,1.0,3.0
20.0,5.0,1.0,3.0
23.0,8.0,1.0,3.0
20.0,5.0,1.0,3.0
19.0,6.0,1.0,3.0
19.0,7.0,1.0,3.0
24.0,7.0,1.0,3.0
24.0,7.0,1.0,3.0
24.0,7.0,1.0,3.0
22.0,7.0,1.0,3.0
24.0,7.0,1.0,3.0
24.0,7.0,1.0,3.0
24.0,10.0,1.0,3.0
25.0,22.0,1.0,3.0
42.0,42.0,0.0,4.0
18.0,7.0,1.0,3.0
19.0,7.0,1.0,3.0
19.0,7.0,1.0,3.0
4.0,19.0,1.0,3.0
4.0,18.0,1.0,3.0
4.0,18.0,1.0,3.0
16.0,8.0,1.0,3.0
17.0,7.0,1.0,3.0
14.0,7.0,1.0,3.0
6.0,20.0,1.0,3.0
5.0,20.0,1.0,3.0
5.0,20.0,1.0,3.0
5.0,19.0,1.0,3.0
5.0,19.0,1.0,3.0
5.0,19.0,1.0,3.0
16.0,8.0,1.0,3.0
16.0,8.0,1.0,3.0
17.0,8.0,1.0,3.0
16.0,8.0,1.0,3.0
16.0,8.0,1.0,3.0
17.0,8.0,1.0,3.0
18.0,7.0,1.0,3.0
19.0,7.0,1.0,3.0
19.0,7.0,1.0,3.0
18.0,7.0,1.0,3.0
18.0,8.0,1.0,3.0
18.0,7.0,1.0,3.0
18.0,8.0,1.0,3.0
18.0,8.0,1.0,3.0
19.0,10.0,1.0,3.0
19.0,9.0,1.0,3.0
19.0,11.0,1.0,3.0
19.0,9.0,1.0,3.0
19.0,10.0,1.0,3.0
19.0,10.0,1.0,3.0
20.0,12.0,1.0,3.0
19.0,12.0,1.0,3.0
19.0,10.0,1.0,3.0
18.0,10.0,1.0,3.0
19.0,10.0,1.0,3.0
19.0,10.0,1.0,3.0
17.0,8.0,1.0,3.0
23.0,10.0,1.0,3.0
19.0,7.0,1.0,3.0
19.0,7.0,1.0,3.0
24.0,15.0,1.0,3.0
42.0,42.0,0.0,4.0
19.0,8.0,1.0,3.0
18.0,7.0,1.0,3.0
18.0,7.0,1.0,3.0
17.0,8.0,1.0,3.0
16.0,8.0,1.0,3.0
16.0,8.0,1.0,3.0
17.0,8.0,1.0,3.0
17.0,8.0,1.0,3.0
17.0,8.0,1.0,3.0
19.0,7.0,1.0,3.0
42.0,42.0,0.0,4.0
18.0,7.0,1.0,3.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
17.0,5.0,1.0,3.0
42.0,42.0,0.0,4.0
19.0,9.0,1.0,3.0
42.0,42.0,0.0,4.0
24.0,10.0,1.0,3.0
22.0,10.0,1.0,3.0
24.0,10.0,1.0,3.0
22.0,10.0,1.0,3.0
22.0,10.0,1.0,3.0
22.0,10.0,1.0,3.0
22.0,10.0,1.0,3.0
19.0,8.0,1.0,3.0
22.0,10.0,1.0,3.0
19.0,8.0,1.0,3.0
21.0,9.0,1.0,3.0
21.0,9.0,1.0,3.0
4.0,19.0,1.0,3.0
4.0,19.0,1.0,3.0
19.0,8.0,1.0,3.0
24.0,7.0,1.0,3.0
24.0,7.0,1.0,3.0
24.0,20.0,1.0,3.0
25.0,12.0,1.0,3.0
32.0,15.0,1.0,3.0
40.0,43.0,1.0,0.0
52.0,20.0,1.0,1.0
52.0,18.0,1.0,1.0
52.0,19.0,1.0,1.0
52.0,19.0,1.0,1.0
28.0,53.0,1.0,3.0
53.0,19.0,1.0,1.0
53.0,19.0,1.0,1.0
39.0,45.0,1.0,0.0
39.0,42.0,1.0,0.0
38.0,41.0,1.0,0.0
53.0,19.0,1.0,1.0
53.0,19.0,1.0,1.0
53.0,19.0,1.0,1.0
53.0,19.0,1.0,1.0
52.0,19.0,1.0,1.0
52.0,18.0,1.0,1.0
52.0,19.0,1.0,1.0
53.0,18.0,1.0,1.0
53.0,18.0,1.0,1.0
54.0,18.0,1.0,1.0
54.0,17.0,1.0,1.0
54.0,17.0,1.0,1.0
56.0,18.0,1.0,1.0
