yaw,pitch,face,class
27.0,58.0,1.0,2.0
26.0,59.0,1.0,2.0
26.0,58.0,1.0,2.0
25.0,58.0,1.0,2.0
25.0,58.0,1.0,2.0
25.0,58.0,1.0,2.0
27.0,59.0,1.0,2.0
29.0,58.0,1.0,2.0
29.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
27.0,58.0,1.0,2.0
28.0,59.0,1.0,2.0
28.0,59.0,1.0,2.0
29.0,60.0,1.0,2.0
29.0,60.0,1.0,2.0
28.0,59.0,1.0,2.0
30.0,60.0,1.0,2.0
31.0,60.0,1.0,2.0
30.0,60.0,1.0,2.0
30.0,60.0,1.0,2.0
31.0,60.0,1.0,2.0
30.0,60.0,1.0,2.0
31.0,60.0,1.0,2.0
30.0,60.0,1.0,2.0
30.0,60.0,1.0,2.0
30.0,60.0,1.0,2.0
29.0,60.0,1.0,2.0
29.0,60.0,1.0,2.0
29.0,60.0,1.0,2.0
29.0,59.0,1.0,2.0
29.0,60.0,1.0,2.0
30.0,60.0,1.0,2.0
31.0,60.0,1.0,2.0
32.0,60.0,1.0,2.0
32.0,61.0,1.0,2.0
31.0,60.0,1.0,2.0
31.0,61.0,1.0,2.0
31.0,60.0,1.0,2.0
32.0,60.0,1.0,2.0
31.0,60.0,1.0,2.0
30.0,60.0,1.0,2.0
30.0,60.0,1.0,2.0
28.0,61.0,1.0,2.0
30.0,61.0,1.0,2.0
23.0,41.0,1.0,1.0
23.0,41.0,1.0,1.0
18.0,29.0,1.0,1.0
18.0,28.0,1.0,1.0
18.0,28.0,1.0,1.0
18.0,29.0,1.0,1.0
18.0,29.0,1.0,1.0
18.0,28.0,1.0,1.0
18.0,28.0,1.0,1.0
18.0,28.0,1.0,1.0
15.0,28.0,1.0,1.0
18.0,28.0,1.0,1.0
17.0,28.0,1.0,1.0
18.0,27.0,1.0,1.0
17.0,28.0,1.0,1.0
18.0,28.0,1.0,1.0
18.0,28.0,1.0,1.0
18.0,27.0,1.0,1.0
18.0,28.0,1.0,1.0
