yaw,pitch,face,class
45.0,31.0,1.0,1.0
45.0,31.0,1.0,1.0
45.0,31.0,1.0,1.0
46.0,30.0,1.0,1.0
45.0,30.0,1.0,1.0
46.0,31.0,1.0,1.0
46.0,31.0,1.0,1.0
46.0,32.0,1.0,1.0
46.0,32.0,1.0,1.0
45.0,31.0,1.0,1.0
46.0,32.0,1.0,1.0
45.0,32.0,1.0,1.0
45.0,32.0,1.0,1.0
45.0,31.0,1.0,1.0
46.0,30.0,1.0,1.0
46.0,32.0,1.0,1.0
45.0,32.0,1.0,1.0
45.0,31.0,1.0,1.0
45.0,32.0,1.0,1.0
38.0,37.0,1.0,1.0
43.0,35.0,1.0,1.0
44.0,34.0,1.0,1.0
44.0,34.0,1.0,1.0
45.0,34.0,1.0,1.0
45.0,31.0,1.0,1.0
45.0,33.0,1.0,1.0
44.0,34.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
37.0,35.0,1.0,1.0
38.0,35.0,1.0,1.0
39.0,36.0,1.0,1.0
36.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
43.0,34.0,1.0,1.0
38.0,36.0,1.0,1.0
38.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
38.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,38.0,1.0,1.0
43.0,35.0,1.0,1.0
41.0,36.0,1.0,1.0
40.0,36.0,1.0,1.0
41.0,35.0,1.0,1.0
41.0,35.0,1.0,1.0
39.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
38.0,36.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
43.0,35.0,1.0,1.0
43.0,35.0,1.0,1.0
38.0,36.0,1.0,1.0
38.0,36.0,1.0,1.0
38.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
38.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
37.0,37.0,1.0,1.0
35.0,15.0,1.0,3.0
35.0,15.0,1.0,3.0
39.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
39.0,36.0,1.0,1.0
41.0,35.0,1.0,1.0
43.0,34.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,35.0,1.0,1.0
38.0,35.0,1.0,1.0
38.0,35.0,1.0,1.0
38.0,35.0,1.0,1.0
39.0,35.0,1.0,1.0
41.0,35.0,1.0,1.0
41.0,35.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,37.0,1.0,1.0
39.0,36.0,1.0,1.0
42.0,35.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
43.0,35.0,1.0,1.0
42.0,35.0,1.0,1.0
43.0,35.0,1.0,1.0
43.0,35.0,1.0,1.0
43.0,35.0,1.0,1.0
45.0,35.0,1.0,1.0
43.0,35.0,1.0,1.0
39.0,37.0,1.0,1.0
40.0,36.0,1.0,1.0
40.0,36.0,1.0,1.0
39.0,36.0,1.0,1.0
40.0,36.0,1.0,1.0
43.0,35.0,1.0,1.0
43.0,35.0,1.0,1.0
42.0,35.0,1.0,1.0
40.0,36.0,1.0,1.0
39.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
40.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
37.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
37.0,36.0,1.0,1.0
38.0,36.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
37.0,36.0,1.0,1.0
38.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
38.0,37.0,1.0,1.0
39.0,37.0,1.0,1.0
