,file,case,l2cs_org,l2cs_m2prop
0,51007_sessie1_taskrobotEngagement,invisible,0.85,0.85
1,51007_sessie2_taskrobotEngagement,invisible,0.8823529411764706,0.8823529411764706
2,51007_sessie3_taskrobotEngagement,invisible,0.6666666666666666,0.6666666666666666
3,51009_sessie1_taskrobotEngagement,invisible,0.2777777777777778,0.2777777777777778
4,51009_sessie2_taskrobotEngagement,invisible,0.2,0.2
5,51009_sessie3_taskrobotEngagement,invisible,0.625,0.5833333333333334
6,51010_sessie1_taskrobotEngagement,invisible,0.5294117647058824,0.5294117647058824
7,51010_sessie2_taskrobotEngagement,invisible,0.5,0.5
8,51010_sessie3_taskrobotEngagement,invisible,0.7777777777777778,0.7777777777777778
9,51011_sessie3_robotEngagement3,invisible,1.0,1.0
10,51011_sessie3_taskEngagement1,invisible,0.7142857142857143,0.7142857142857143
11,51011_sessie3_taskrobotEngagement,invisible,0.5714285714285714,0.5714285714285714
12,51013_sessie1_taskrobotEngagement,invisible,0.5,0.5
13,51013_sessie2_taskrobotEngagement,invisible,0.5714285714285714,0.5714285714285714
14,51013_sessie3_taskrobotEngagement,invisible,1.0,1.0
15,51014_sessie1_taskrobotEngagement,invisible,0.391304347826087,0.43478260869565216
16,51014_sessie2_taskrobotEngagement,invisible,0.25925925925925924,0.25925925925925924
17,51014_sessie3_taskrobotEngagement,invisible,0.3157894736842105,0.3684210526315789
18,51015_sessie1_taskrobotEngagement,invisible,0.47368421052631576,0.3157894736842105
19,51015_sessie2_taskrobotEngagement,invisible,0.71875,0.6875
20,51015_sessie3_taskrobotEngagement,invisible,0.6428571428571429,0.5714285714285714
21,51016_sessie1_taskrobotEngagement,invisible,0.42857142857142855,0.42857142857142855
22,51016_sessie3_taskEngagement1,invisible,0.5714285714285714,0.7142857142857143
23,51016_sessie3_taskrobotEngagement,invisible,0.6,0.7333333333333333
24,51017_sessie1_taskrobotEngagement,invisible,0.8,0.8666666666666667
25,51017_sessie2_taskrobotEngagement,invisible,0.5,0.35714285714285715
26,51017_sessie3_taskrobotEngagement,invisible,0.6923076923076923,0.8461538461538461
27,51019_sessie1_taskrobotEngagement,invisible,0.5555555555555556,0.6666666666666666
28,51019_sessie2_taskrobotEngagement,invisible,0.125,0.125
29,51019_sessie3_taskrobotEngagement,invisible,0.3125,0.4375
30,51020_sessie1_taskrobotEngagement,invisible,0.47368421052631576,0.631578947368421
31,51020_sessie2_taskrobotEngagement,invisible,0.41379310344827586,0.6206896551724138
32,51020_sessie3_taskrobotEngagement,invisible,0.8235294117647058,0.9411764705882353
33,51021_sessie1_taskrobotEngagement,invisible,0.42424242424242425,0.48484848484848486
34,51021_sessie2_taskrobotEngagement,invisible,0.5,0.5416666666666666
35,51021_sessie3_taskrobotEngagement,invisible,0.7,0.75
36,Proefpersoon11009_Sessie3,invisible,0.7142857142857143,0.7142857142857143
37,Proefpersoon11009_sessie1,invisible,0.5714285714285714,0.7142857142857143
38,Proefpersoon11009_sessie2,invisible,0.75,0.6666666666666666
39,Proefpersoon11012_Sessie3,invisible,1.0,1.0
40,Proefpersoon11012_sessie1,invisible,0.5333333333333333,0.4666666666666667
41,Proefpersoon11012_sessie2,invisible,0.5555555555555556,0.5555555555555556
42,Proefpersoon11029_Sessie1,invisible,0.6842105263157895,0.7894736842105263
43,Proefpersoon11029_sessie2,invisible,0.35714285714285715,0.35714285714285715
44,Proefpersoon11029_sessie3,invisible,0.5483870967741935,0.5161290322580645
