yaw,pitch,class
-0.6134620865769516,-0.39466476089931163,0.0
-0.646612316877931,-0.36837323566972235,0.0
-0.6179734814635458,-0.3707860596173342,0.0
-0.6413586989955316,-0.25634550020277613,1.0
-0.6513354330711865,-0.30110658022428294,0.0
-0.6171556246927825,-0.31113284909621325,0.0
-0.6680539594463769,-0.34497443601617717,0.0
-0.6482312525045901,-0.20343035355566477,1.0
-0.6552175229921949,-0.23549108465469265,1.0
-0.6597009546873434,-0.21269149624641528,1.0
-0.6725206132266578,-0.16045811883836417,1.0
-0.6374148237372333,-0.19680680560852867,1.0
-0.5838711710728631,-0.24740873053279727,1.0
-0.5973313198543416,-0.23357813604368877,1.0
-0.5928801124083832,-0.1904857927612256,1.0
-0.634416636982022,-0.19830802951500634,1.0
-0.6293635551297057,-0.2039494036521212,1.0
-0.613714021616073,-0.2887431211796991,0.0
-0.5988320111286013,-0.27187758831233627,0.0
-0.6087746567423031,-0.23924374494672332,1.0
-0.5954007943801432,-0.2655280796413694,0.0
-0.6202787137031184,-0.2513129246908534,1.0
-0.6453798059254423,-0.27697274810987593,0.0
-0.5994192381489637,-0.2872746541546294,0.0
-0.614621360599463,-0.3348011606520745,0.0
-0.6176227431479824,-0.3418177911761062,0.0
-0.6143920624296073,-0.31482638721204415,0.0
-0.6274388886099055,-0.3336251087146955,0.0
-0.6120301048588159,-0.368293607153129,0.0
-0.58352842224057,-0.3539202604338624,0.0
-0.5789440567401076,-0.32980906518872094,0.0
-0.6412053009167431,-0.3153680741777663,0.0
-0.6244548166084717,-0.37879897870516455,0.0
-0.5917722373949102,-0.34878488690386256,0.0
-0.582988599487611,-0.3478322741819412,0.0
-0.6045061421471242,-0.3619923016978925,0.0
-0.4363333782630184,-0.4798691378669797,0.0
-0.4214662814776511,-0.4739324191649751,0.0
-0.39945285822316506,-0.46084937399385184,0.0
-0.4187605098101306,-0.5002748107713849,0.0
-0.46382625546034245,-0.47799373982734594,0.0
-0.40295331715996524,-0.5348343859212341,0.0
-0.4081041370242875,-0.46800209204958665,0.0
-0.3706829952831481,-0.4541195659192216,0.0
-0.3844249065079569,-0.4428493345021153,0.0
-0.3884694492554603,-0.4516098029079309,0.0
-0.38371011407137967,-0.4461939985151458,0.0
-0.38912538583194684,-0.4494848666741567,0.0
-0.44742997157705156,-0.5121152249778772,0.0
-0.4593020774005158,-0.45688951976901304,0.0
-0.45483622256856193,-0.5124899317432513,0.0
-0.4542287555239149,-0.5276281383275887,0.0
-0.43910626159000893,-0.5185006863235602,0.0
-0.43586599349170946,-0.5244967935178736,0.0
-0.4454376607655633,-0.523131657143099,0.0
-0.43567184904824274,-0.5200748808439061,0.0
-0.45926319524860065,-0.4829544099898365,0.0
-0.45811484018655846,-0.44150124235831717,0.0
-0.4681962364930534,-0.3896481643539294,0.0
-0.47316116771328814,-0.4022971142673697,0.0
-0.49682788137249534,-0.3714648993791953,0.0
-0.4910067438618001,-0.372126162277862,0.0
-0.49100381438460106,-0.37568680865529797,0.0
